year,avg_temp
1839,9.47
1840,10.21
1841,9.44
1842,10.13
1843,10.33
1844,10.15
1845,10.25
1846,10.57
1847,10.59
1848,10.36
1849,10.39
1850,9.69
1851,9.33
1852,9.52
1853,9.86
1854,10.53
1855,10.83
1856,10.3
1857,10.27
1858,10.45
1859,10.37
1860,9.47
1861,9.77
1862,9.69
1863,10.53
1864,10
1865,10.2
1866,10.11
1867,10.56
1868,10.49
1869,10.71
1870,10.34
1871,10.48
1872,10.26
1873,9.85
1874,10.52
1875,10.43
1876,10.71
1877,10.48
1878,10.29
1879,10.62
1880,10.29
1881,10.24
1882,10.43
1883,10.24
1884,9.37
1885,9.88
1886,10.33
1887,10.35
1888,10.34
1889,9.7
1890,11.38
1891,10.33
1892,9.61
1893,9.64
1894,11.6
1895,9.93
1896,10.39
1897,10.4
1898,11.49
1899,11.12
1900,10.55
1901,10.28
1902,10.82
1903,10.68
1904,10.25
1905,10.57
1906,10.08
1907,10.57
1908,10.08
1909,10.13
1910,9.94
1911,10.24
1912,9.96
1913,9.7
1914,11.44
1915,10.35
1916,10.49
1917,9.56
1918,10.21
1919,10.64
1920,10.98
1921,10.49
1922,10.53
1923,10.15
1924,10.54
1925,10.33
1926,10.25
1927,10.56
1928,10.53
1929,10.75
1930,11.12
1931,10.27
1932,10.98
1933,10.47
1934,10.21
1935,11.26
1936,9.85
1937,11.15
1938,10.8
1939,11.36
1940,10.63
1941,10.89
1942,10.72
1943,11.14
1944,10.52
1945,9.99
1946,11.07
1947,9.2
1948,11.23
1949,11.24
1950,11.29
1951,10.98
1952,10.85
1953,10.79
1954,11.09
1955,11.23
1956,9.84
1957,10.11
1958,11.09
1959,11.58
1960,11.63
1961,11.66
1962,10.98
1963,10.55
1964,11.35
1965,10.61
1966,10.73
1967,10.84
1968,10.93
1969,10.09
1970,10.46
1971,10.71
1972,11.01
1973,11.28
1974,10.21
1975,11.61
1976,10.56
1977,11.22
1978,11.46
1979,11.58
1980,10.03
1981,10.28
1982,11.47
1983,11.38
1984,10.67
1985,10.78
1986,10.46
1987,11.03
1988,11.23
1989,12.01
1990,11.86
1991,11.39
1992,11.48
1993,11.02
1994,12.32
1995,11.27
1996,11.13
1997,11.7
1998,12.66
1999,12.13
2000,11.42
2001,11.6
2002,11.8
2003,11.8
2004,12.25
2005,11.16
2006,12.01
2007,12.25
2008,11.96
2009,11.84
2010,11.3
2011,11.12
2012,11.23
2013,12.12
